Unnamed: 0,Spectrum,Emission Line,Line Center (Å),Flux,Flux Error,SNR,EW,EW Error,FWHM (Å),FWHM (km/s),Wing Window,Min λ,Max λ,Reduced χ²,Spectral Index,Error Spectral Index,Amplitude,Error Amplitude
,3c273 15dcdr2dswp19731mxlo.txt,lyman alpha,1215.0,6.995e-12,6.968e-13,10.04,47.44,4.73,16.95,4183.4,20.0,1205.0,1225.0,0.44,,,,
,c273 16dcdr2dswp23063mxlo.txt,lyman alpha,1216.0,6.689e-12,5.64e-13,11.86,57.6,4.86,14.13,3483.3,21.0,1205.5,1226.5,0.38,,,,
,3c273 17dcdr2dswp23064mxlo.txt,lyman alpha,1217.0,7.203e-12,5.833e-13,12.35,55.47,4.49,15.31,3770.5,21.0,1206.5,1227.5,1.23,,,,
,3c273 18dcdr2dswp23444mxlo.txt,lyman alpha,1214.5,5.291e-12,6.266e-13,8.44,45.51,5.39,18.84,4650.2,19.0,1205.0,1224.0,0.25,,,,
,3c273 19dcdr2dswp25973mxlo.txt,lyman alpha,1216.5,5.823e-12,7.054e-13,8.26,44.57,5.4,16.48,4062.2,23.0,1205.0,1228.0,0.36,,,,
,3c273 20dcdr2dswp25974mxlo.txt,lyman alpha,1217.0,6.412e-12,6.894e-13,9.3,44.51,4.79,17.66,4350.6,21.0,1206.5,1227.5,0.8,,,,
,3c273 21dcdr2dswp26489mxlo.txt,lyman alpha,1214.0,5.015e-12,7.349e-13,6.82,33.72,4.94,14.13,3489.1,16.0,1206.0,1222.0,0.32,,,,
,3c273 22dcdr2dswp28304mxlo.txt,lyman alpha,1217.0,6.256e-12,5.729e-13,10.92,38.33,3.51,12.24,3016.4,15.0,1209.5,1224.5,1.88,,,,
,3c273 23dcdr2dswp28305mxlo.txt,lyman alpha,1215.5,6.254e-12,6.503e-13,9.62,42.39,4.41,15.31,3775.1,18.0,1206.5,1224.5,1.0,,,,
,3c273 24dcdr2dswp29774mxlo.txt,lyman alpha,1216.5,4.935e-12,8.304e-13,5.94,33.08,5.57,13.19,3249.8,17.0,1208.0,1225.0,0.05,,,,
,3c273 25dcdr2dswp29775mxlo.txt,lyman alpha,1216.0,5.467e-12,8.281e-13,6.6,31.12,4.71,12.36,3047.9,15.0,1208.5,1223.5,0.74,,,,
,3c273 26dcdr2dswp29843mxlo.txt,lyman alpha,1215.0,7.524e-12,7.548e-13,9.97,39.68,3.98,14.84,3660.5,17.0,1206.5,1223.5,1.39,,,,
,3c273 27dcdr2dswp29844mxlo.txt,lyman alpha,1215.25,6.238e-12,7.585e-13,8.22,36.38,4.42,15.42,3805.0,17.0,1206.75,1223.75,0.81,,,,
,3c273 28dcdr2dswp29939mxlo.txt,lyman alpha,1217.25,6.406e-12,7.573e-13,8.46,37.6,4.44,16.48,4059.7,18.0,1208.25,1226.25,1.07,,,,
,3c273 29dcdr2dswp29940mxlo.txt,lyman alpha,1216.0,6.033e-12,7.663e-13,7.87,37.28,4.74,15.89,3918.7,18.0,1207.0,1225.0,0.46,,,,
,3c273 30dcdr2dswp30081mxlo.txt,lyman alpha,1214.5,7.425e-12,7.811e-13,9.51,45.84,4.82,14.13,3487.6,21.0,1204.0,1225.0,0.9,,,,
,3c273 31dcdr2dswp30082mxlo.txt,lyman alpha,1216.0,6.113e-12,7.159e-13,8.54,40.33,4.72,15.31,3773.6,18.0,1207.0,1225.0,0.3,,,,
,3c273 32dcdr2dswp30141mxlo.txt,lyman alpha,1216.0,7.014e-12,6.103e-13,11.49,40.98,3.57,11.77,2902.8,15.0,1208.5,1223.5,1.69,,,,
,3c273 33dcdr2dswp30142mxlo.txt,lyman alpha,1215.0,6.38e-12,6.567e-13,9.71,40.16,4.13,15.31,3776.7,17.0,1206.5,1223.5,0.85,,,,
,3c273 34dcdr2dswp30238mxlo.txt,lyman alpha,1215.2,5.987e-12,7.383e-13,8.11,37.54,4.63,15.31,3776.1,17.0,1206.7,1223.7,0.51,,,,
,3c273 35dcdr2dswp30239mxlo.txt,lyman alpha,1215.2,6.042e-12,7.542e-13,8.01,39.78,4.97,15.31,3776.1,17.0,1206.7,1223.7,0.49,,,,
,3c273 36dcdr2dswp30243mxlo.txt,lyman alpha,1216.0,7.044e-12,7.271e-13,9.69,37.62,3.88,15.31,3773.6,16.0,1208.0,1224.0,1.65,,,,
,3c273 37dcdr2dswp30244mxlo.txt,lyman alpha,1215.0,6.455e-12,7.29e-13,8.85,37.51,4.24,16.48,4067.2,17.0,1206.5,1223.5,0.98,,,,
,3c273 38dcdr2dswp30331mxlo.txt,lyman alpha,1215.5,6.086e-12,7.915e-13,7.69,33.16,4.31,18.01,4443.1,17.0,1207.0,1224.0,1.4,,,,
,3c273 38dcdr2dswp30331mxlo.txt,lyman alpha,1215.5,6.086e-12,7.912e-13,7.69,34.44,4.48,18.01,4443.1,18.0,1206.5,1224.5,1.4,,,,
,3c273 39dcdr2dswp30332mxlo.txt,lyman alpha,1215.0,6.542e-12,8.13e-13,8.05,38.35,4.77,18.25,4503.0,19.0,1205.5,1224.5,0.69,,,,
,3c273 39dcdr2dswp30332mxlo.txt,lyman alpha,1215.0,6.542e-12,8.13e-13,8.05,39.44,4.9,18.25,4503.0,20.0,1205.0,1225.0,0.69,,,,
,3c273 40dcdr2dswp31077mxlo.txt,lyman alpha,1213.0,7.29e-12,5.704e-13,12.78,55.78,4.36,14.13,3491.9,18.0,1204.0,1222.0,0.58,,,,
,3c273 42dcdr2dswp31079mxlo.txt,lyman alpha,1213.5,6.618e-12,5.409e-13,12.23,51.99,4.25,14.13,3490.5,17.0,1205.0,1222.0,0.94,,,,
,3c273 42dcdr2dswp31079mxlo.txt,lyman alpha,1213.5,7.06e-12,5.84e-13,12.09,56.5,4.67,14.13,3490.5,20.0,1203.5,1223.5,0.78,,,,
,3c273 43dcdr2dswp31353mxlo.txt,lyman alpha,1215.75,8.603e-12,5.639e-13,15.26,59.73,3.92,16.48,4064.7,21.0,1205.25,1226.25,2.67,,,,
,3c273 44dcdr2dswp31354mxlo.txt,lyman alpha,1216.0,7.017e-12,5.563e-13,12.61,56.31,4.46,16.48,4063.9,21.0,1205.5,1226.5,1.17,,,,
,3c273 48dcdr2dswp32639mxlo.txt,lyman alpha,1215.5,6.632e-12,6.389e-13,10.38,47.26,4.55,16.48,4065.5,20.0,1205.5,1225.5,0.88,,,,
,3c273 48dcdr2dswp32639mxlo.txt,lyman alpha,1215.5,6.632e-12,6.387e-13,10.38,48.52,4.67,16.48,4065.5,21.0,1205.0,1226.0,0.88,,,,
,3c273 49dcdr2dswp32725mxlo.txt,lyman alpha,1215.5,6.752e-12,6.062e-13,11.14,40.95,3.68,14.13,3484.7,16.0,1207.5,1223.5,1.73,,,,
,3c273 50dcdr2dswp32726mxlo.txt,lyman alpha,1215.0,6.51e-12,6.59e-13,9.88,47.8,4.84,16.48,4067.2,20.0,1205.0,1225.0,0.56,,,,
,3c273 51dcdr2dswp32889mxlo.txt,lyman alpha,1213.5,5.703e-12,6.837e-13,8.34,41.34,4.96,15.31,3781.4,20.0,1203.5,1223.5,0.39,,,,
,3c273 52dcdr2dswp32890mxlo.txt,lyman alpha,1213.0,5.853e-12,6.461e-13,9.06,39.02,4.31,17.07,4219.4,18.0,1204.0,1222.0,1.73,,,,
,3c273 53dcdr2dswp33486mxlo.txt,lyman alpha,1215.0,5.477e-12,6.861e-13,7.98,34.24,4.29,15.31,3776.7,16.0,1207.0,1223.0,0.68,,,,
,3C273 54dcdr2dswp33487mxlo.txt,LYMAN ALPHA,1214.0,4.953e-12,6.585e-13,7.52,34.67,4.61,15.31,3779.8,16.0,1206.0,1222.0,0.45,,,,
,,,,,,,,,,,,,,,,,,
,3C273 55dcdr2dswp33704mxlo.txt,LYMAN ALPHA,1216.0,5.865e-12,6.919e-13,8.48,33.12,3.91,12.95,3193.0,15.0,1208.5,1223.5,1.33,,,,
,3C273 56dcdr2dswp33705mxlo.txt,LYMAN ALPHA,1215.0,5.137e-12,7.017e-13,7.32,29.55,4.04,12.95,3195.7,14.0,1208.0,1222.0,1.09,,,,
,3C273 57dcdr2dswp33797mxlo.txt,LYMAN ALPHA,1215.5,4.209e-12,7.709e-13,5.46,27.31,5.0,15.31,3775.1,15.0,1208.0,1223.0,0.45,,,,
,3C273 58dcdr2dswp33889mxlo.txt,LYMAN ALPHA,1215.0,4.585e-12,7.838e-13,5.85,31.32,5.35,14.13,3486.2,17.0,1206.5,1223.5,0.22,,,,
,3C273 59dcdr2dswp33890mxlo.txt,LYMAN ALPHA,1216.75,4.727e-12,7.964e-13,5.94,28.68,4.83,16.48,4061.4,16.0,1208.75,1224.75,0.63,,,,
,3C273 60dcdr2dswp33907mxlo.txt,LYMAN ALPHA,1216.0,5.26e-12,7.867e-13,6.69,30.82,4.61,16.48,4063.9,16.0,1208.0,1224.0,0.69,,,,
,3C273 61dcdr2dswp33908mxlo.txt,LYMAN ALPHA,1215.5,5.419e-12,7.439e-13,7.28,32.12,4.41,12.95,3194.3,15.0,1208.0,1223.0,0.65,,,,
,3C273 72dcdr2dswp36169mxlo.txt,LYMAN ALPHA,1215.0,7.148e-12,5.835e-13,12.25,55.8,4.56,15.31,3776.7,20.0,1205.0,1225.0,0.49,,,,
,3C273 73dcdr2dswp36170mxlo.txt,LYMAN ALPHA,1215.25,6.449e-12,5.654e-13,11.41,52.05,4.56,15.89,3921.1,19.0,1205.75,1224.75,0.72,,,,
,3C273 74dcdr2dswp36265mxlo.txt,LYMAN ALPHA,1213.5,6.844e-12,5.662e-13,12.09,47.85,3.96,15.31,3781.4,16.0,1205.5,1221.5,1.28,,,,
,3C273 75dcdr2dswp36266mxlo.txt,LYMAN ALPHA,1213.5,5.692e-12,5.488e-13,10.37,43.4,4.18,15.31,3781.4,16.0,1205.5,1221.5,0.87,,,,
,3C273 75dcdr2dswp36266mxlo.txt,LYMAN ALPHA,1213.5,5.692e-12,5.483e-13,10.38,45.16,4.35,15.31,3781.4,17.0,1205.0,1222.0,0.87,,,,
,3C273 76dcdr2dswp36370mxlo.txt,LYMAN ALPHA,1215.5,6.227e-12,5.516e-13,11.29,51.77,4.59,14.13,3484.7,18.0,1206.5,1224.5,0.26,,,,
,3C273 77dcdr2dswp36371mxlo.txt,LYMAN ALPHA,1215.0,6.582e-12,5.905e-13,11.15,52.24,4.69,15.31,3776.7,20.0,1205.0,1225.0,0.65,,,,
,3C273 78dcdr2dswp36489mxlo.txt,LYMAN ALPHA,1214.0,6.834e-12,5.616e-13,12.17,51.31,4.22,15.31,3779.8,18.0,1205.0,1223.0,1.05,,,,
,3C273 79dcdr2dswp36490mxlo.txt,LYMAN ALPHA,1215.0,5.206e-12,5.686e-13,9.16,50.01,5.46,16.48,4067.2,20.0,1205.0,1225.0,0.3,,,,
,3C273 80dcdr2dswp36560mxlo.txt,LYMAN ALPHA,1216.0,5.764e-12,4.675e-13,12.33,51.62,4.19,12.95,3193.0,15.0,1208.5,1223.5,0.43,,,,
,3C273 81dcdr2dswp36617mxlo.txt,LYMAN ALPHA,1215.5,5.527e-12,4.656e-13,11.87,50.29,4.24,10.6,2613.6,15.0,1208.0,1223.0,0.76,,,,
,3C273 82dcdr2dswp36618mxlo.txt,LYMAN ALPHA,1215.25,6.34e-12,5.295e-13,11.97,56.01,4.68,16.48,4066.4,19.0,1205.75,1224.75,0.33,,,,
,3C273 83dcdr2dswp37871mxlo.txt,LYMAN ALPHA,1215.5,7.032e-12,5.209e-13,13.5,52.94,3.92,14.13,3484.7,18.0,1206.5,1224.5,3.0,,,,
,3C273 84dcdr2dswp37872mxlo.txt,LYMAN ALPHA,1216.5,5.792e-12,4.884e-13,11.86,50.46,4.25,14.13,3481.9,17.0,1208.0,1225.0,0.67,,,,
,3c273 85dcdr2dswp37954mxlo.txt,LYMAN ALPHA,1217.25,6.095e-12,4.562e-13,13.36,52.46,3.93,12.95,3189.8,15.0,1209.75,1224.75,0.74,,,,
,3c273 86dcdr2dswp38038mxlo.txt,LYMAN ALPHA,1216.75,5.047e-12,3.252e-13,15.52,61.0,3.93,14.13,3481.2,16.0,1208.75,1224.75,1.46,,,,
,3c273 87dcdr2dswp38039mxlo.txt,LYMAN ALPHA,1214.0,6.778e-12,4.577e-13,14.81,57.5,3.88,13.54,3343.7,18.0,1205.0,1223.0,2.79,,,,
,3c273 88dcdr2dswp38139mxlo.txt,LYMAN ALPHA,1217.5,6.198e-12,4.822e-13,12.85,52.48,4.08,10.6,2609.3,16.0,1209.5,1225.5,1.24,,,,
,3c273 89dcdr2dswp38140mxlo.txt,LYMAN ALPHA,1214.5,6.29e-12,5.059e-13,12.43,55.07,4.43,14.13,3487.6,18.0,1205.5,1223.5,0.64,,,,
,3c273 90dcdr2dswp38708mxlo.txt,LYMAN ALPHA,1215.0,4.995e-12,6.446e-13,7.75,35.94,4.64,15.31,3776.7,17.0,1206.5,1223.5,0.37,,,,
,3c273 91dcdr2dswp38709mxlo.txt,LYMAN ALPHA,1214.0,4.306e-12,6.401e-13,6.73,33.61,5.0,14.13,3489.1,15.0,1206.5,1221.5,0.11,,,,
,3c273 92dcdr2dswp38825mxlo.txt,LYMAN ALPHA,1214.5,4.905e-12,6.53e-13,7.51,36.55,4.87,15.31,3778.2,16.0,1206.5,1222.5,0.26,,,,
,3c273 93dcdr2dswp38946mxlo.txt,LYMAN ALPHA,1214.0,6.008e-12,6.963e-13,8.63,40.22,4.66,16.48,4070.6,18.0,1205.0,1223.0,0.71,,,,
,3c273 94dcdr2dswp38947mxlo.txt,LYMAN ALPHA,1214.5,4.774e-12,6.584e-13,7.25,33.67,4.64,15.31,3778.2,16.0,1206.5,1222.5,0.7,,,,
,3c273 95dcdr2dswp39067mxlo.txt,LYMAN ALPHA,1215.0,6.667e-12,5.799e-13,11.5,46.08,4.01,14.72,3631.4,17.0,1206.5,1223.5,1.16,,,,
,3c273 96dcdr2dswp39068mxlo.txt,LYMAN ALPHA,1214.0,5.372e-12,6.19e-13,8.68,42.94,4.95,17.78,4390.4,18.0,1205.0,1223.0,0.34,,,,
,3c273 97dcdr2dswp40331mxlo.txt,LYMAN ALPHA,1213.5,4.227e-12,8.154e-13,5.18,29.66,5.72,14.72,3635.9,17.0,1205.0,1222.0,0.29,,,,
,3c273 98dcdr2dswp40332mxlo.txt,LYMAN ALPHA,1215.5,4.581e-12,7.38e-13,6.21,25.0,4.03,12.95,3194.3,13.0,1209.0,1222.0,1.11,,,,
,3C273 99dcdr2dswp40333mxlo.txt,LYMAN ALPHA,1214.0,4.503e-12,7.903e-13,5.7,27.02,4.74,12.95,3198.3,15.0,1206.5,1221.5,0.67,,,,
